zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus,gym_count,gyms_per_10000_adults
49411,41.0,25.7,1592,1325,0.0,0.0
49412,36.2,26.4,11703,8986,0.0,0.0
49415,40.2,23.8,6618,5279,0.0,0.0
49417,33.1,20.4,32406,25568,0.0,0.0
49418,32.4,19.1,30520,23597,0.0,0.0
49419,35.5,22.9,8720,6238,0.0,0.0
49420,40.3,28.8,6295,4875,0.0,0.0
49421,40.6,29.9,5756,4480,0.0,0.0
49423,33.0,22.3,46870,36830,0.0,0.0
49424,33.1,22.4,47963,36611,0.0,0.0
49425,43.8,28.4,3655,2688,0.0,0.0
49426,31.7,17.3,40467,28662,0.0,0.0
49428,32.0,19.4,27162,19976,0.0,0.0
49430,30.9,18.3,177,130,0.0,0.0
49431,40.3,25.4,17044,13699,0.0,0.0
49434,28.4,14.7,72,57,0.0,0.0
49435,33.6,20.0,3568,2740,0.0,0.0
49436,39.4,26.5,1604,1345,0.0,0.0
49437,40.5,24.5,6928,5470,0.0,0.0
49440,48.4,35.0,1320,1119,0.0,0.0
49441,42.0,25.7,36886,29297,0.0,0.0
49442,48.5,33.3,45342,34962,0.0,0.0
49443,48.6,41.5,88,86,0.0,0.0
49444,48.5,33.4,26281,19662,0.0,0.0
49445,41.1,23.8,21245,16623,0.0,0.0
49446,40.9,28.1,2311,1799,0.0,0.0
49448,33.9,20.1,4027,2995,0.0,0.0
49449,37.1,23.9,2776,2390,0.0,0.0
49450,45.2,42.4,3159,2288,0.0,0.0
49451,42.6,26.6,6091,4560,0.0,0.0
49452,42.2,28.4,2081,1554,0.0,0.0
49453,32.4,19.1,2950,2427,0.0,0.0
49454,41.1,25.1,4642,3606,0.0,0.0
49455,41.1,28.5,5197,3885,0.0,0.0
49456,33.2,19.6,19727,15552,0.0,0.0
49457,43.4,26.1,10833,8238,0.0,0.0
49458,38.9,24.4,155,108,0.0,0.0
49459,42.3,31.1,1451,1060,0.0,0.0
49460,33.1,20.4,9025,6867,0.0,0.0
49461,41.4,25.0,9295,7372,0.0,0.0
49464,32.6,20.6,29654,21484,0.0,0.0
49503,36.9,23.4,39344,32011,0.0,0.0
49504,34.8,22.2,41249,32886,0.0,0.0
49505,35.9,22.3,31444,25181,0.0,0.0
49506,31.9,16.9,33050,25320,0.0,0.0
49507,42.8,31.4,38137,26626,0.0,0.0
49508,36.4,25.3,41851,31443,0.0,0.0
49509,38.0,27.1,28340,21271,0.0,0.0
49512,33.2,22.0,18558,14907,0.0,0.0
49519,35.6,23.5,28025,21765,0.0,0.0
49525,32.2,18.2,30275,23676,0.0,0.0
49534,33.0,19.8,23996,18712,0.0,0.0
49544,33.6,20.7,9514,7539,0.0,0.0
49546,29.3,17.5,35536,28076,0.0,0.0
49548,38.5,28.4,34741,25764,0.0,0.0
49601,38.7,26.1,21564,16779,0.0,0.0
49611,39.2,25.5,208,155,0.0,0.0
49612,35.5,23.0,1163,981,0.0,0.0
49613,33.9,27.5,706,593,0.0,0.0
49614,35.4,26.7,2985,2386,0.0,0.0
49615,35.7,23.5,4161,3577,0.0,0.0
49616,36.3,23.7,2068,1660,0.0,0.0
49617,36.1,24.7,3285,2774,0.0,0.0
49618,40.6,27.9,776,627,0.0,0.0
49619,38.3,31.6,1043,850,0.0,0.0
49620,38.9,25.4,2827,2108,0.0,0.0
49621,32.5,19.6,3157,2552,0.0,0.0
49622,36.9,23.6,2473,2083,0.0,0.0
